Date,Close,Open,High,Low,Volume,Change %
15/06/2023,"56,500","57,000","57,900","55,800",2.45M,-0.88%
14/06/2023,"57,000","56,800","58,200","56,700",2.46M,0.53%
13/06/2023,"56,700","55,200","56,700","55,100",2.37M,2.35%
12/6/2023,"55,400","55,500","55,500","54,400",1.15M,-0.18%
9/6/2023,"55,500","55,000","55,800","54,800",1.05M,0.18%
8/6/2023,"55,400","55,300","56,000","55,100",2.33M,0.18%
7/6/2023,"55,300","55,300","55,700","54,500",1.86M,0.55%
6/6/2023,"55,000","54,400","55,000","53,900",1.36M,2.42%
5/6/2023,"53,700","54,000","55,100","53,300",1.43M,0.56%
2/6/2023,"53,400","53,500","53,900","53,000",1.36M,0.75%
1/6/2023,"53,000","53,500","54,000","53,000",913.70K,-0.93%
31/05/2023,"53,500","55,000","55,000","53,500",1.54M,-2.55%
30/05/2023,"54,900","56,000","56,000","54,600",1.39M,-1.08%
29/05/2023,"55,500","55,000","56,300","55,000",1.61M,0.91%
26/05/2023,"55,000","55,000","56,400","54,600",1.79M,0.00%
25/05/2023,"55,000","54,700","55,600","54,000",1.61M,0.92%
24/05/2023,"54,500","53,700","54,500","53,300",848.90K,1.49%
23/05/2023,"53,700","54,500","54,500","53,000",1.16M,-0.74%
22/05/2023,"54,100","55,000","55,000","53,500",1.65M,0.00%
19/05/2023,"54,100","55,500","55,500","53,500",1.84M,-1.64%
18/05/2023,"55,000","53,900","55,800","53,500",3.53M,3.00%
17/05/2023,"53,400","52,200","53,900","52,200",3.11M,2.30%
16/05/2023,"52,200","51,700","52,200","51,500",1.50M,0.97%
15/05/2023,"51,700","52,000","52,500","51,500",1.70M,0.98%
12/5/2023,"51,200","49,100","51,200","48,900",1.44M,4.17%
11/5/2023,"49,150","49,500","49,500","48,950",523.90K,-0.41%
10/5/2023,"49,350","49,300","49,400","48,900",518.80K,0.10%
9/5/2023,"49,300","49,050","49,500","48,750",1.27M,-0.20%
8/5/2023,"49,400","48,850","49,550","48,600",1.06M,0.82%
5/5/2023,"49,000","49,150","49,500","48,600",793.20K,-1.01%
4/5/2023,"49,500","49,500","49,500","48,200",1.31M,0.00%
28/04/2023,"49,500","47,700","49,500","47,400",1.14M,4.21%
27/04/2023,"47,500","48,000","48,700","46,850",2.65M,-1.04%
26/04/2023,"48,000","49,900","49,900","48,000",2.28M,-4.38%
25/04/2023,"50,200","51,200","51,200","49,850",2.14M,-0.59%
24/04/2023,"50,500","50,800","52,000","50,200",1.34M,0.40%
21/04/2023,"50,300","50,500","50,700","49,900",734.70K,-0.79%
20/04/2023,"50,700","50,500","50,700","49,850",483.60K,0.60%
19/04/2023,"50,400","50,800","51,200","50,000",973.10K,-0.79%
18/04/2023,"50,800","50,900","51,300","50,500",1.76M,0.99%
17/04/2023,"50,300","50,100","50,900","50,000",1.03M,0.60%
14/04/2023,"50,000","50,700","51,500","49,700",1.32M,-0.99%
13/04/2023,"50,500","51,600","51,700","50,300",1.34M,-2.13%
12/4/2023,"51,600","51,900","52,100","51,000",2.03M,0.19%
11/4/2023,"51,500","49,300","51,700","49,300",2.08M,3.41%
10/4/2023,"49,800","51,400","51,500","49,800",1.33M,-1.78%
7/4/2023,"50,700","51,200","51,500","50,300",779.80K,-0.98%
6/4/2023,"51,200","52,000","52,200","51,200",1.03M,-1.92%
5/4/2023,"52,200","51,000","52,300","50,600",2.19M,2.35%
4/4/2023,"51,000","53,000","53,000","51,000",1.52M,-3.04%
3/4/2023,"52,600","52,200","53,700","52,000",2.84M,2.14%
31/03/2023,"51,500","49,600","51,500","49,600",2.72M,3.94%
30/03/2023,"49,550","48,800","49,950","48,100",1.68M,3.23%
29/03/2023,"48,000","48,050","48,050","47,100",1.25M,0.00%
28/03/2023,"48,000","48,450","49,500","47,000",2.55M,-0.83%
27/03/2023,"48,400","49,000","49,500","48,400",1.87M,-1.22%
24/03/2023,"49,000","48,000","49,850","48,000",2.61M,2.08%
23/03/2023,"48,000","47,400","48,000","46,850",2.27M,0.73%
22/03/2023,"47,650","45,600","48,000","45,600",4.39M,4.96%
21/03/2023,"45,400","43,000","45,500","43,000",2.54M,6.70%
20/03/2023,"42,550","44,100","44,100","42,550",2.17M,-1.85%
17/03/2023,"43,350","44,600","45,200","43,350",4.94M,-2.58%
16/03/2023,"44,500","45,800","45,800","44,250",2.04M,-3.26%
15/03/2023,"46,000","45,250","46,600","44,950",2.07M,2.79%
14/03/2023,"44,750","44,200","45,350","44,100",2.84M,0.00%
13/03/2023,"44,750","42,800","44,800","42,750",3.23M,4.43%
10/3/2023,"42,850","42,400","43,000","42,000",2.54M,1.06%
9/3/2023,"42,400","42,350","43,000","42,250",1.78M,0.12%
8/3/2023,"42,350","41,300","42,350","41,300",1.95M,0.12%
7/3/2023,"42,300","42,700","43,000","42,100",1.67M,0.48%
6/3/2023,"42,100","41,750","43,200","41,500",3.00M,2.81%
3/3/2023,"40,950","41,000","41,200","40,550",1.39M,-0.36%
2/3/2023,"41,100","41,000","41,500","40,450",1.95M,-0.24%
1/3/2023,"41,200","41,050","41,300","39,800",3.33M,-0.72%
28/02/2023,"41,500","41,000","41,950","40,400",1.63M,1.47%
27/02/2023,"40,900","40,000","40,900","39,400",5.33M,-0.24%
24/02/2023,"41,000","41,700","42,000","40,900",3.01M,-2.38%
23/02/2023,"42,000","42,600","42,850","40,600",4.59M,-1.41%
22/02/2023,"42,600","44,600","44,800","42,600",3.71M,-5.75%
21/02/2023,"45,200","45,500","46,150","45,100",1.57M,0.00%
20/02/2023,"45,200","43,500","46,300","43,400",4.18M,4.39%
17/02/2023,"43,300","42,700","43,600","42,500",2.06M,1.88%
16/02/2023,"42,500","42,750","42,750","42,000",2.37M,0.00%
15/02/2023,"42,500","42,700","42,700","41,600",4.29M,-0.58%
14/02/2023,"42,750","44,000","44,200","42,200",3.88M,-3.72%
13/02/2023,"44,400","44,800","45,000","43,400",2.47M,-2.20%
10/2/2023,"45,400","45,000","45,750","45,000",1.60M,0.22%
9/2/2023,"45,300","45,650","46,700","45,300",3.12M,-2.79%
8/2/2023,"46,600","46,700","46,700","44,450",4.74M,-0.43%
7/2/2023,"46,800","48,000","48,000","46,050",2.54M,-2.40%
6/2/2023,"47,950","47,900","48,000","47,100",1.69M,-0.31%
3/2/2023,"48,100","48,000","48,500","47,500",1.25M,0.42%
