"Date","Close","Open","High","Low","Volume","Change %"
"23/11/2023","11,450.0","12,300.0","12,450.0","11,450.0","1.62M","-6.91%"
"22/11/2023","12,300.0","12,300.0","12,400.0","12,000.0","1.03M","-0.81%"
"21/11/2023","12,400.0","12,350.0","12,400.0","11,800.0","1.67M","1.22%"
"20/11/2023","12,250.0","12,000.0","12,400.0","11,600.0","1.63M","1.66%"
"17/11/2023","12,050.0","11,500.0","12,050.0","11,350.0","4.92M","6.64%"
"16/11/2023","11,300.0","11,050.0","11,300.0","10,950.0","723.80K","1.80%"
"15/11/2023","11,100.0","11,700.0","11,700.0","11,000.0","1.10M","-0.89%"
"14/11/2023","11,200.0","11,300.0","11,300.0","10,900.0","810.70K","1.82%"
"13/11/2023","11,000.0","11,200.0","11,450.0","10,850.0","851.50K","-1.35%"
"10/11/2023","11,150.0","11,150.0","11,500.0","10,950.0","1.58M","-1.76%"
"09/11/2023","11,350.0","11,250.0","11,750.0","11,000.0","1.12M","2.71%"
"08/11/2023","11,050.0","10,250.0","11,050.0","10,250.0","1.38M","6.76%"
"07/11/2023","10,350.0","10,650.0","10,750.0","10,350.0","498.60K","-2.82%"
"06/11/2023","10,650.0","10,600.0","10,850.0","10,500.0","594.10K","0.47%"
"03/11/2023","10,600.0","10,850.0","10,850.0","10,350.0","967.20K","4.43%"
"02/11/2023","10,150.0","9,800.0","10,150.0","9,800.0","399.50K","6.84%"
"01/11/2023","9,500.0","9,500.0","9,870.0","9,010.0","482.20K","0.00%"
"31/10/2023","9,500.0","10,150.0","10,250.0","9,500.0","950.30K","-5.00%"
"30/10/2023","10,000.0","10,550.0","10,600.0","10,000.0","423.50K","-6.54%"
"27/10/2023","10,700.0","10,800.0","10,900.0","9,900.0","955.10K","2.39%"
"26/10/2023","10,450.0","10,600.0","10,800.0","10,450.0","854.30K","-6.70%"
"25/10/2023","11,200.0","11,350.0","11,500.0","10,950.0","711.80K","-0.88%"
"24/10/2023","11,300.0","11,450.0","11,450.0","10,750.0","665.00K","1.35%"
"23/10/2023","11,150.0","11,100.0","11,200.0","10,850.0","888.10K","3.24%"
"20/10/2023","10,800.0","10,150.0","10,800.0","10,000.0","747.80K","6.93%"
"19/10/2023","10,100.0","10,050.0","10,350.0","9,700.0","626.30K","0.50%"
"18/10/2023","10,050.0","10,500.0","10,700.0","9,900.0","985.20K","-4.29%"
"17/10/2023","10,500.0","11,350.0","11,350.0","10,500.0","560.20K","-4.55%"
"16/10/2023","11,000.0","11,250.0","11,600.0","11,000.0","577.50K","-5.17%"
"13/10/2023","11,600.0","11,050.0","11,600.0","10,800.0","903.70K","0.43%"
"12/10/2023","11,550.0","11,650.0","11,900.0","11,250.0","985.90K","1.76%"
"11/10/2023","11,350.0","11,100.0","11,350.0","11,000.0","1.54M","6.57%"
"10/10/2023","10,650.0","10,000.0","10,650.0","10,000.0","620.50K","6.61%"
"09/10/2023","9,990.0","10,000.0","10,050.0","9,510.0","429.20K","0.91%"
"06/10/2023","9,900.0","9,610.0","10,000.0","9,320.0","873.10K","-0.70%"
"05/10/2023","9,970.0","10,650.0","10,750.0","9,950.0","693.30K","-6.38%"
"04/10/2023","10,650.0","10,200.0","10,950.0","10,050.0","627.60K","-0.93%"
"03/10/2023","10,750.0","11,400.0","11,400.0","10,750.0","1.06M","-6.93%"
"02/10/2023","11,550.0","11,550.0","11,650.0","11,300.0","458.90K","0.00%"
"29/09/2023","11,550.0","12,000.0","12,000.0","11,300.0","733.90K","-0.43%"
"28/09/2023","11,600.0","11,500.0","11,800.0","11,300.0","733.00K","3.11%"
"27/09/2023","11,250.0","11,000.0","11,400.0","10,500.0","988.40K","2.27%"
"26/09/2023","11,000.0","11,550.0","12,150.0","11,000.0","1.27M","-6.38%"
"25/09/2023","11,750.0","12,350.0","12,600.0","11,750.0","1.10M","-6.75%"
