Date,Close,Open,High,Low,Volume,Change %
27/07/2023,"18,050.00","17,100.00","18,050.00","17,000.00",43.73M,6.80%
26/07/2023,"16,900.00","16,650.00","16,950.00","16,450.00",21.62M,1.81%
25/07/2023,"16,600.00","16,900.00","16,950.00","16,500.00",23.48M,-1.78%
24/07/2023,"16,900.00","16,700.00","17,150.00","16,650.00",22.24M,2.74%
21/07/2023,"16,450.00","16,000.00","16,700.00","15,900.00",25.02M,3.46%
20/07/2023,"15,900.00","15,700.00","15,950.00","15,600.00",17.63M,1.27%
19/07/2023,"15,700.00","16,500.00","16,550.00","15,700.00",30.40M,-3.98%
18/07/2023,"16,350.00","16,300.00","16,600.00","16,100.00",23.18M,0.31%
17/07/2023,"16,300.00","15,950.00","16,600.00","15,900.00",26.34M,3.49%
14/07/2023,"15,750.00","15,700.00","15,850.00","15,500.00",22.17M,1.29%
13/07/2023,"15,550.00","15,050.00","15,650.00","15,000.00",26.70M,4.01%
12/7/2023,"14,950.00","15,100.00","15,200.00","14,750.00",12.74M,-0.33%
11/7/2023,"15,000.00","15,400.00","15,400.00","14,950.00",11.79M,-1.32%
10/7/2023,"15,200.00","14,900.00","15,500.00","14,800.00",16.55M,2.36%
7/7/2023,"14,850.00","14,700.00","14,850.00","14,250.00",11.73M,1.71%
6/7/2023,"14,600.00","15,150.00","15,250.00","14,550.00",15.48M,-3.63%
5/7/2023,"15,150.00","15,400.00","15,450.00","15,100.00",10.66M,-0.98%
4/7/2023,"15,300.00","14,800.00","15,300.00","14,800.00",11.91M,2.68%
3/7/2023,"14,900.00","14,950.00","15,050.00","14,700.00",8.98M,0.34%
30/06/2023,"14,850.00","14,800.00","15,000.00","14,700.00",11.52M,-0.34%
29/06/2023,"14,900.00","15,500.00","15,600.00","14,900.00",22.68M,-4.18%
28/06/2023,"15,550.00","15,800.00","16,100.00","15,550.00",17.18M,-0.96%
27/06/2023,"15,700.00","15,850.00","15,900.00","15,450.00",14.18M,-0.63%
26/06/2023,"15,800.00","15,700.00","15,950.00","15,200.00",23.37M,0.00%
23/06/2023,"15,800.00","16,000.00","16,000.00","15,600.00",17.35M,-1.25%
22/06/2023,"16,000.00","15,550.00","16,100.00","15,450.00",30.86M,4.23%
21/06/2023,"15,350.00","15,250.00","15,500.00","15,100.00",20.21M,0.66%
20/06/2023,"15,250.00","14,650.00","15,250.00","14,550.00",25.94M,5.17%
19/06/2023,"14,500.00","14,400.00","14,700.00","14,300.00",12.15M,1.75%
16/06/2023,"14,250.00","14,450.00","14,750.00","14,250.00",19.44M,0.35%
15/06/2023,"14,200.00","14,400.00","14,450.00","14,000.00",15.12M,-1.39%
14/06/2023,"14,400.00","14,700.00","14,900.00","14,400.00",13.44M,-0.69%
13/06/2023,"14,500.00","14,500.00","14,750.00","14,300.00",16.16M,1.40%
12/6/2023,"14,300.00","14,600.00","14,600.00","14,050.00",13.64M,-1.38%
9/6/2023,"14,500.00","14,500.00","14,650.00","14,000.00",20.17M,0.00%
8/6/2023,"14,500.00","15,400.00","15,400.00","14,500.00",23.35M,-4.61%
7/6/2023,"15,200.00","14,950.00","15,600.00","14,900.00",22.38M,2.01%
6/6/2023,"14,900.00","14,600.00","14,900.00","14,450.00",17.30M,1.71%
5/6/2023,"14,650.00","15,300.00","15,300.00","14,600.00",29.66M,-3.30%
2/6/2023,"15,150.00","15,400.00","15,500.00","15,000.00",20.98M,0.00%
1/6/2023,"15,150.00","14,900.00","15,200.00","14,850.00",18.46M,1.68%
31/05/2023,"14,900.00","14,950.00","15,200.00","14,850.00",15.10M,-0.33%
30/05/2023,"14,950.00","14,950.00","15,200.00","14,750.00",30.20M,2.40%
29/05/2023,"14,600.00","14,650.00","14,750.00","14,500.00",13.24M,1.04%
26/05/2023,"14,450.00","14,000.00","14,700.00","13,950.00",20.07M,3.96%
25/05/2023,"13,900.00","14,150.00","14,250.00","13,800.00",12.63M,-1.77%
24/05/2023,"14,150.00","14,150.00","14,450.00","14,050.00",14.05M,0.71%
23/05/2023,"14,050.00","14,300.00","14,400.00","13,950.00",15.45M,-1.40%
22/05/2023,"14,250.00","14,200.00","14,400.00","14,100.00",10.10M,1.06%
19/05/2023,"14,100.00","13,900.00","14,200.00","13,550.00",11.90M,2.17%
18/05/2023,"13,800.00","14,050.00","14,200.00","13,750.00",17.44M,-1.08%
17/05/2023,"13,950.00","14,550.00","14,900.00","13,950.00",25.97M,-3.79%
16/05/2023,"14,500.00","14,200.00","14,500.00","14,100.00",17.43M,2.47%
15/05/2023,"14,150.00","14,800.00","14,800.00","14,150.00",20.52M,-3.41%
12/5/2023,"14,650.00","14,450.00","14,650.00","14,350.00",17.45M,1.03%
11/5/2023,"14,500.00","14,350.00","14,950.00","14,150.00",26.89M,1.40%
10/5/2023,"14,300.00","13,500.00","14,300.00","13,500.00",34.73M,6.72%
9/5/2023,"13,400.00","13,500.00","13,550.00","13,200.00",9.64M,0.37%
8/5/2023,"13,350.00","13,350.00","13,800.00","13,200.00",22.27M,1.14%
5/5/2023,"13,200.00","13,300.00","13,450.00","13,100.00",12.29M,-0.75%
4/5/2023,"13,300.00","13,300.00","13,700.00","13,150.00",19.07M,-1.48%
28/04/2023,"13,500.00","13,250.00","13,750.00","13,250.00",21.30M,2.27%
27/04/2023,"13,200.00","12,700.00","13,450.00","12,600.00",30.21M,4.76%
26/04/2023,"12,600.00","12,600.00","12,700.00","12,400.00",7.82M,0.40%
25/04/2023,"12,550.00","12,950.00","12,950.00","12,550.00",10.09M,-1.57%
24/04/2023,"12,750.00","12,500.00","12,850.00","12,500.00",7.78M,0.79%
21/04/2023,"12,650.00","12,750.00","12,950.00","12,500.00",11.04M,0.40%
20/04/2023,"12,600.00","12,950.00","12,950.00","12,500.00",8.34M,-0.79%
19/04/2023,"12,700.00","13,200.00","13,200.00","12,550.00",12.72M,-2.68%
18/04/2023,"13,050.00","12,700.00","13,200.00","12,400.00",18.31M,2.76%
17/04/2023,"12,700.00","12,550.00","12,850.00","12,450.00",13.79M,-0.39%
14/04/2023,"12,750.00","13,750.00","13,800.00","12,750.00",28.64M,-6.93%
13/04/2023,"13,700.00","13,700.00","13,900.00","13,500.00",20.26M,0.37%
12/4/2023,"13,650.00","13,800.00","13,950.00","13,400.00",21.95M,-0.36%
11/4/2023,"13,700.00","13,100.00","13,700.00","12,900.00",19.74M,2.62%
10/4/2023,"13,350.00","13,550.00","14,000.00","13,200.00",19.20M,-1.84%
7/4/2023,"13,600.00","13,300.00","13,650.00","13,050.00",18.89M,3.82%
6/4/2023,"13,100.00","14,000.00","14,200.00","13,100.00",28.01M,-4.38%
5/4/2023,"13,700.00","13,350.00","13,800.00","13,300.00",14.02M,2.24%
4/4/2023,"13,400.00","13,500.00","13,650.00","13,250.00",22.54M,0.00%
3/4/2023,"13,400.00","12,950.00","13,400.00","12,850.00",20.09M,6.77%
31/03/2023,"12,550.00","12,600.00","12,600.00","12,300.00",15.97M,0.80%
30/03/2023,"12,450.00","12,600.00","12,700.00","12,400.00",16.28M,0.40%
29/03/2023,"12,400.00","12,300.00","12,450.00","12,200.00",9.72M,0.40%
28/03/2023,"12,350.00","12,200.00","12,650.00","12,200.00",20.88M,1.65%
27/03/2023,"12,150.00","12,100.00","12,300.00","11,950.00",11.97M,2.53%
24/03/2023,"11,850.00","11,800.00","12,200.00","11,650.00",19.10M,0.85%
23/03/2023,"11,750.00","11,500.00","11,750.00","11,300.00",9.93M,2.17%
22/03/2023,"11,500.00","11,750.00","11,950.00","11,500.00",12.35M,-0.43%
21/03/2023,"11,550.00","11,000.00","11,650.00","11,000.00",17.32M,4.05%
20/03/2023,"11,100.00","11,500.00","11,650.00","11,100.00",16.76M,-5.13%
17/03/2023,"11,700.00","11,800.00","11,900.00","11,350.00",18.04M,2.18%
16/03/2023,"11,450.00","11,300.00","11,700.00","11,300.00",23.54M,0.88%
15/03/2023,"11,350.00","11,100.00","11,350.00","10,950.00",10.75M,6.57%
14/03/2023,"10,650.00","11,150.00","11,400.00","10,500.00",17.58M,-4.91%
13/03/2023,"11,200.00","11,100.00","11,650.00","11,100.00",13.12M,-0.44%
10/3/2023,"11,250.00","11,200.00","11,400.00","11,000.00",15.15M,0.45%
9/3/2023,"11,200.00","11,500.00","11,550.00","11,150.00",12.43M,0.00%
8/3/2023,"11,200.00","10,300.00","11,200.00","10,300.00",24.61M,6.67%
7/3/2023,"10,500.00","11,100.00","11,100.00","10,500.00",11.29M,-2.78%
6/3/2023,"10,800.00","10,700.00","10,800.00","10,650.00",15.63M,6.93%
3/3/2023,"10,100.00","10,450.00","10,450.00","9,900.00",10.04M,-0.49%
2/3/2023,"10,150.00","10,200.00","10,400.00","9,900.00",9.14M,-1.46%
1/3/2023,"10,300.00","9,810.00","10,300.00","9,710.00",12.83M,3.00%
28/02/2023,"10,000.00","10,050.00","10,200.00","9,900.00",11.28M,1.94%
27/02/2023,"9,810.00","10,100.00","10,500.00","9,650.00",16.61M,-5.22%
24/02/2023,"10,350.00","11,000.00","11,050.00","10,350.00",8.10M,-5.05%
23/02/2023,"10,900.00","10,800.00","11,000.00","10,300.00",11.66M,-0.91%
22/02/2023,"11,000.00","11,500.00","11,700.00","11,000.00",19.38M,-6.78%
21/02/2023,"11,800.00","12,200.00","12,400.00","11,800.00",14.86M,-0.84%
20/02/2023,"11,900.00","11,300.00","11,900.00","11,300.00",14.52M,6.73%
17/02/2023,"11,150.00","11,200.00","11,600.00","11,150.00",11.88M,0.00%
16/02/2023,"11,150.00","11,150.00","11,300.00","10,650.00",9.23M,1.83%
15/02/2023,"10,950.00","10,250.00","10,950.00","10,250.00",12.59M,6.83%
14/02/2023,"10,250.00","10,900.00","11,000.00","10,150.00",10.72M,-5.09%
13/02/2023,"10,800.00","11,300.00","11,350.00","10,800.00",13.54M,-6.90%
10/2/2023,"11,600.00","12,500.00","12,500.00","11,600.00",10.47M,-5.69%
9/2/2023,"12,300.00","12,200.00","12,750.00","12,200.00",4.73M,-1.60%
8/2/2023,"12,500.00","13,300.00","13,300.00","12,000.00",10.20M,-1.57%
7/2/2023,"12,700.00","13,750.00","13,750.00","12,700.00",9.58M,-5.93%
6/2/2023,"13,500.00","13,150.00","13,700.00","13,000.00",8.05M,0.75%
3/2/2023,"13,400.00","13,500.00","13,900.00","13,250.00",6.05M,-0.37%
2/2/2023,"13,450.00","13,900.00","14,050.00","13,000.00",10.90M,-3.24%
1/2/2023,"13,900.00","15,000.00","15,150.00","13,900.00",20.56M,-6.71%
31/01/2023,"14,900.00","14,300.00","14,900.00","14,300.00",9.54M,3.47%
30/01/2023,"14,400.00","13,900.00","15,000.00","13,700.00",16.46M,2.13%
27/01/2023,"14,100.00","14,200.00","14,350.00","14,000.00",7.11M,0.71%
19/01/2023,"14,000.00","14,150.00","14,300.00","13,900.00",7.75M,-1.06%
18/01/2023,"14,150.00","13,950.00","14,400.00","13,700.00",9.95M,4.04%
17/01/2023,"13,600.00","12,900.00","13,600.00","12,900.00",6.78M,5.84%
16/01/2023,"12,850.00","12,900.00","13,200.00","12,650.00",4.02M,-0.39%
13/01/2023,"12,900.00","13,300.00","13,400.00","12,800.00",4.99M,-1.15%
