Date,Close,Open,High,Low,Volume,Change %
11/8/2020,"6,060.00","6,190.00","6,190.00","6,060.00",79.52K,-0.66%
10/8/2020,"6,100.00","6,090.00","6,150.00","6,040.00",237.19K,0.83%
7/8/2020,"6,050.00","6,100.00","6,110.00","6,010.00",126.76K,0.50%
6/8/2020,"6,020.00","5,900.00","6,100.00","5,900.00",93.14K,-0.99%
5/8/2020,"6,080.00","6,100.00","6,100.00","5,950.00",301.85K,-0.82%
4/8/2020,"6,130.00","6,040.00","6,210.00","6,000.00",275.01K,3.90%
3/8/2020,"5,900.00","5,590.00","5,900.00","5,400.00",279.51K,5.55%
31/07/2020,"5,590.00","5,450.00","5,900.00","5,310.00",174.81K,0.36%
30/07/2020,"5,570.00","5,510.00","5,690.00","5,500.00",165.47K,-0.18%
29/07/2020,"5,580.00","5,610.00","5,900.00","5,580.00",252.18K,-7.00%
28/07/2020,"6,000.00","5,800.00","6,060.00","5,600.00",311.78K,3.27%
27/07/2020,"5,810.00","5,810.00","6,170.00","5,810.00",331.21K,-6.89%
24/07/2020,"6,240.00","6,400.00","6,500.00","6,240.00",612.90K,-6.87%
23/07/2020,"6,700.00","6,800.00","6,840.00","6,640.00",157.33K,-1.47%
22/07/2020,"6,800.00","6,890.00","6,910.00","6,800.00",112.17K,-1.16%
21/07/2020,"6,880.00","6,810.00","6,900.00","6,810.00",82.38K,-0.43%
20/07/2020,"6,910.00","6,850.00","6,950.00","6,790.00",186.89K,0.88%
17/07/2020,"6,850.00","6,800.00","7,020.00","6,800.00",120.45K,-2.14%
16/07/2020,"7,000.00","6,920.00","7,010.00","6,900.00",118.94K,0.00%
15/07/2020,"7,000.00","6,950.00","7,180.00","6,950.00",183.96K,-0.57%
14/07/2020,"7,040.00","7,050.00","7,100.00","6,860.00",349.07K,-0.14%
13/07/2020,"7,050.00","7,140.00","7,250.00","6,900.00",169.52K,-1.40%
10/7/2020,"7,150.00","7,010.00","7,300.00","7,010.00",217.09K,-2.85%
9/7/2020,"7,360.00","7,450.00","7,450.00","7,250.00",281.06K,1.94%
8/7/2020,"7,220.00","6,780.00","7,220.00","6,780.00",612.75K,6.96%
7/7/2020,"6,750.00","7,010.00","7,160.00","6,670.00",1.02M,-5.86%
6/7/2020,"7,170.00","7,380.00","7,380.00","7,000.00",561.77K,-1.10%
3/7/2020,"7,250.00","7,530.00","7,530.00","7,200.00",158.38K,-0.68%
2/7/2020,"7,300.00","7,580.00","7,580.00","7,100.00",215.06K,-1.75%
1/7/2020,"7,430.00","7,130.00","7,570.00","7,130.00",2.35M,-3.00%
30/06/2020,"7,660.00","7,500.00","7,750.00","7,390.00",259.27K,2.13%
29/06/2020,"7,500.00","7,990.00","7,990.00","7,500.00",404.11K,-6.13%
26/06/2020,"7,990.00","8,210.00","8,390.00","7,800.00",198.42K,-3.15%
25/06/2020,"8,250.00","7,810.00","8,300.00","7,800.00",316.71K,1.23%
24/06/2020,"8,150.00","8,110.00","8,550.00","8,110.00",459.89K,-0.61%
23/06/2020,"8,200.00","8,300.00","8,500.00","8,100.00",456.39K,-1.80%
22/06/2020,"8,350.00","8,800.00","8,800.00","8,350.00",1.06M,1.46%
19/06/2020,"8,230.00","7,800.00","8,230.00","7,770.00",523.79K,6.88%
18/06/2020,"7,700.00","7,380.00","7,750.00","7,380.00",398.85K,1.58%
17/06/2020,"7,580.00","7,400.00","7,890.00","7,400.00",286.45K,0.00%
16/06/2020,"7,580.00","7,350.00","7,600.00","7,260.00",416.87K,3.13%
15/06/2020,"7,350.00","7,750.00","7,900.00","7,350.00",1.22M,-6.96%
12/6/2020,"7,900.00","7,720.00","8,100.00","7,710.00",1.42M,-4.59%
11/6/2020,"8,280.00","8,930.00","9,300.00","8,280.00",929.64K,-6.97%
10/6/2020,"8,900.00","8,400.00","8,980.00","8,270.00",840.83K,5.83%
9/6/2020,"8,410.00","8,510.00","8,800.00","8,380.00",955.14K,-5.51%
8/6/2020,"8,900.00","8,790.00","9,140.00","8,540.00",1.08M,4.09%
5/6/2020,"8,550.00","8,230.00","8,610.00","8,000.00",1.02M,3.89%
4/6/2020,"8,230.00","7,850.00","8,230.00","7,750.00",1.45M,6.88%
3/6/2020,"7,700.00","7,560.00","7,780.00","7,560.00",381.04K,1.32%
2/6/2020,"7,600.00","7,850.00","7,900.00","7,580.00",490.39K,-0.65%
1/6/2020,"7,650.00","7,500.00","7,730.00","7,500.00",476.42K,1.46%
29/05/2020,"7,540.00","7,630.00","7,740.00","7,430.00",311.43K,-1.18%
28/05/2020,"7,630.00","7,500.00","7,800.00","7,380.00",535.14K,3.53%
27/05/2020,"7,370.00","8,000.00","8,040.00","7,370.00",677.26K,-6.94%
26/05/2020,"7,920.00","7,810.00","8,060.00","7,810.00",649.71K,1.41%
25/05/2020,"7,810.00","7,800.00","7,940.00","7,700.00",418.88K,0.39%
22/05/2020,"7,780.00","8,000.00","8,100.00","7,780.00",593.14K,-2.75%
21/05/2020,"8,000.00","8,050.00","8,100.00","7,960.00",340.23K,-0.62%
20/05/2020,"8,050.00","8,150.00","8,150.00","7,900.00",345.64K,2.42%
19/05/2020,"7,860.00","7,950.00","8,230.00","7,700.00",1.14M,1.42%
18/05/2020,"7,750.00","7,900.00","7,900.00","7,690.00",1.08M,-2.76%
15/05/2020,"7,970.00","8,170.00","8,380.00","7,940.00",411.51K,-2.57%
